,file_name,batch,TMT_group2,TMT_group1,mix_channels
98,bannertmt_b07_12,7,"['129N', '131N', '130N', '128N', '127N']","['129C', '128C', '127C', '130C']","['126', '131C']"
99,bannertmt_b06_02,6,"['130N', '127N', '129C', '128C', '128N']","['129N', '127C', '131N', '130C']","['126', '131C']"
100,bannertmt_b08_06,8,"['130C', '127C', '129N', '129C']","['128C', '127N', '131N', '128N', '130N']","['126', '131C']"
101,bannertmt_b11_05,11,"['131N', '130N', '129C', '127N', '129N']","['128C', '128N', '127C', '130C']","['126', '131C']"
102,bannertmt_b11_23,11,"['131N', '130N', '129C', '127N', '129N']","['128C', '128N', '127C', '130C']","['126', '131C']"
103,bannertmt_b12_20,12,"['130C', '131N', '130N', '127N', '129N']","['129C', '127C', '128C', '128N']","['126', '131C']"
104,bannertmt_b05_05,5,"['128N', '130C', '129C', '127N', '128C']","['127C', '129N', '130N', '131N']","['126', '131C']"
105,bannertmt_b21_16,21,"['127N', '128N', '130N', '129N']","['130C', '129C', '128C', '127C', '131N']","['126', '131C']"
106,bannertmt_b20_13,20,"['128C', '130N', '128N', '130C', '127C']","['129C', '127N', '129N', '131N']","['126', '131C']"
107,bannertmt_b03_18,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
108,bannertmt_b14_12,14,"['129C', '128C', '127N']","['127C', '131N', '128N', '130C', '129N', '130N']","['126', '131C']"
109,bannertmt_b21_17,21,"['127N', '128N', '130N', '129N']","['130C', '129C', '128C', '127C', '131N']","['126', '131C']"
110,bannertmt_b01_24,1,"['127N', '129N', '128N', '130N', '131N', '128C']","['129C', '130C', '127C']","['126', '131C']"
111,bannertmt_b22_05,22,"['131N', '128C', '129C', '130N']","['128N', '130C', '127C', '129N', '127N']","['126', '131C']"
112,bannertmt_b10_21,10,"['131N', '129C', '127C', '129N']","['130C', '128N', '130N', '127N', '128C']","['126', '131C']"
113,bannertmt_b03_15,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
114,bannertmt_b03_14,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
115,bannertmt_b20_06,20,"['128C', '130N', '128N', '130C', '127C']","['129C', '127N', '129N', '131N']","['126', '131C']"
116,bannertmt_b17_24,17,"['130N', '131N', '127N', '129N', '128N']","['127C', '129C', '128C', '130C']","['126', '131C']"
117,bannertmt_b02_10,2,"['128N', '131N', '128C', '129C']","['127C', '130N', '130C', '127N', '129N']","['126', '131C']"
118,bannertmt_b10_22,10,"['131N', '129C', '127C', '129N']","['130C', '128N', '130N', '127N', '128C']","['126', '131C']"
119,bannertmt_b14_16,14,"['129C', '128C', '127N']","['127C', '131N', '128N', '130C', '129N', '130N']","['126', '131C']"
120,bannertmt_b08_15,8,"['130C', '127C', '129N', '129C']","['128C', '127N', '131N', '128N', '130N']","['126', '131C']"
121,bannertmt_b13_20,13,"['128C', '127N', '130C', '128N', '129C']","['130N', '131N', '127C', '129N']","['126', '131C']"
122,bannertmt_b07_15,7,"['129N', '131N', '130N', '128N', '127N']","['129C', '128C', '127C', '130C']","['126', '131C']"
123,bannertmt_b05_17,5,"['128N', '130C', '129C', '127N', '128C']","['127C', '129N', '130N', '131N']","['126', '131C']"
124,bannertmt_b05_13,5,"['128N', '130C', '129C', '127N', '128C']","['127C', '129N', '130N', '131N']","['126', '131C']"
125,bannertmt_b20_02,20,"['128C', '130N', '128N', '130C', '127C']","['129C', '127N', '129N', '131N']","['126', '131C']"
126,bannertmt_b16_20,16,"['130C', '127N', '129N', '130N']","['128N', '129C', '128C', '127C', '131N']","['126', '131C']"
127,bannertmt_b15_16,15,"['131N', '127N', '130C', '127C', '128N']","['129C', '130N', '128C', '129N']","['126', '131C']"
128,bannertmt_b01_17,1,"['127N', '129N', '128N', '130N', '131N', '128C']","['129C', '130C', '127C']","['126', '131C']"
129,bannertmt_b15_14,15,"['131N', '127N', '130C', '127C', '128N']","['129C', '130N', '128C', '129N']","['126', '131C']"
130,bannertmt_b12_14,12,"['130C', '131N', '130N', '127N', '129N']","['129C', '127C', '128C', '128N']","['126', '131C']"
131,bannertmt_b03_10,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
132,bannertmt_b15_01,15,"['131N', '127N', '130C', '127C', '128N']","['129C', '130N', '128C', '129N']","['126', '131C']"
133,bannertmt_b10_01,10,"['131N', '129C', '127C', '129N']","['130C', '128N', '130N', '127N', '128C']","['126', '131C']"
134,bannertmt_b02_08,2,"['128N', '131N', '128C', '129C']","['127C', '130N', '130C', '127N', '129N']","['126', '131C']"
135,bannertmt_b18_06,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
136,bannertmt_b07_22,7,"['129N', '131N', '130N', '128N', '127N']","['129C', '128C', '127C', '130C']","['126', '131C']"
137,bannertmt_b06_05,6,"['130N', '127N', '129C', '128C', '128N']","['129N', '127C', '131N', '130C']","['126', '131C']"
138,bannertmt_b05_16,5,"['128N', '130C', '129C', '127N', '128C']","['127C', '129N', '130N', '131N']","['126', '131C']"
139,bannertmt_b20_14,20,"['128C', '130N', '128N', '130C', '127C']","['129C', '127N', '129N', '131N']","['126', '131C']"
140,bannertmt_b21_15,21,"['127N', '128N', '130N', '129N']","['130C', '129C', '128C', '127C', '131N']","['126', '131C']"
141,bannertmt_b18_13,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
142,bannertmt_b14_09,14,"['129C', '128C', '127N']","['127C', '131N', '128N', '130C', '129N', '130N']","['126', '131C']"
143,bannertmt_b13_21,13,"['128C', '127N', '130C', '128N', '129C']","['130N', '131N', '127C', '129N']","['126', '131C']"
144,bannertmt_b21_06,21,"['127N', '128N', '130N', '129N']","['130C', '129C', '128C', '127C', '131N']","['126', '131C']"
145,bannertmt_b18_03,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
146,bannertmt_b19_01,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
147,bannertmt_b08_11,8,"['130C', '127C', '129N', '129C']","['128C', '127N', '131N', '128N', '130N']","['126', '131C']"
148,bannertmt_b17_20,17,"['130N', '131N', '127N', '129N', '128N']","['127C', '129C', '128C', '130C']","['126', '131C']"
149,bannertmt_b04_06,4,"['127N', '127C', '129C', '130C']","['129N', '128C', '130N', '128N', '131N']","['126', '131C']"
150,bannertmt_b07_10,7,"['129N', '131N', '130N', '128N', '127N']","['129C', '128C', '127C', '130C']","['126', '131C']"
151,bannertmt_b22_07,22,"['131N', '128C', '129C', '130N']","['128N', '130C', '127C', '129N', '127N']","['126', '131C']"
152,bannertmt_b12_02,12,"['130C', '131N', '130N', '127N', '129N']","['129C', '127C', '128C', '128N']","['126', '131C']"
153,bannertmt_b21_08,21,"['127N', '128N', '130N', '129N']","['130C', '129C', '128C', '127C', '131N']","['126', '131C']"
154,bannertmt_b01_10,1,"['127N', '129N', '128N', '130N', '131N', '128C']","['129C', '130C', '127C']","['126', '131C']"
155,bannertmt_b11_15,11,"['131N', '130N', '129C', '127N', '129N']","['128C', '128N', '127C', '130C']","['126', '131C']"
156,bannertmt_b04_22,4,"['127N', '127C', '129C', '130C']","['129N', '128C', '130N', '128N', '131N']","['126', '131C']"
157,bannertmt_b18_10,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
158,bannertmt_b15_09,15,"['131N', '127N', '130C', '127C', '128N']","['129C', '130N', '128C', '129N']","['126', '131C']"
159,bannertmt_b01_16,1,"['127N', '129N', '128N', '130N', '131N', '128C']","['129C', '130C', '127C']","['126', '131C']"
160,bannertmt_b15_20,15,"['131N', '127N', '130C', '127C', '128N']","['129C', '130N', '128C', '129N']","['126', '131C']"
161,bannertmt_b10_18,10,"['131N', '129C', '127C', '129N']","['130C', '128N', '130N', '127N', '128C']","['126', '131C']"
162,bannertmt_b22_03,22,"['131N', '128C', '129C', '130N']","['128N', '130C', '127C', '129N', '127N']","['126', '131C']"
163,bannertmt_b11_01,11,"['131N', '130N', '129C', '127N', '129N']","['128C', '128N', '127C', '130C']","['126', '131C']"
164,bannertmt_b06_19,6,"['130N', '127N', '129C', '128C', '128N']","['129N', '127C', '131N', '130C']","['126', '131C']"
165,bannertmt_b21_13,21,"['127N', '128N', '130N', '129N']","['130C', '129C', '128C', '127C', '131N']","['126', '131C']"
166,bannertmt_b01_15,1,"['127N', '129N', '128N', '130N', '131N', '128C']","['129C', '130C', '127C']","['126', '131C']"
167,bannertmt_b15_17,15,"['131N', '127N', '130C', '127C', '128N']","['129C', '130N', '128C', '129N']","['126', '131C']"
168,bannertmt_b22_17,22,"['131N', '128C', '129C', '130N']","['128N', '130C', '127C', '129N', '127N']","['126', '131C']"
169,bannertmt_b04_08,4,"['127N', '127C', '129C', '130C']","['129N', '128C', '130N', '128N', '131N']","['126', '131C']"
170,bannertmt_b19_20,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
171,bannertmt_b15_21,15,"['131N', '127N', '130C', '127C', '128N']","['129C', '130N', '128C', '129N']","['126', '131C']"
172,bannertmt_b04_09,4,"['127N', '127C', '129C', '130C']","['129N', '128C', '130N', '128N', '131N']","['126', '131C']"
173,bannertmt_b03_22,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
174,bannertmt_b03_16,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
175,bannertmt_b14_05,14,"['129C', '128C', '127N']","['127C', '131N', '128N', '130C', '129N', '130N']","['126', '131C']"
176,bannertmt_b03_08,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
177,bannertmt_b07_06,7,"['129N', '131N', '130N', '128N', '127N']","['129C', '128C', '127C', '130C']","['126', '131C']"
178,bannertmt_b07_23,7,"['129N', '131N', '130N', '128N', '127N']","['129C', '128C', '127C', '130C']","['126', '131C']"
179,bannertmt_b19_02,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
180,bannertmt_b01_07,1,"['127N', '129N', '128N', '130N', '131N', '128C']","['129C', '130C', '127C']","['126', '131C']"
181,bannertmt_b19_16,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
182,bannertmt_b20_05,20,"['128C', '130N', '128N', '130C', '127C']","['129C', '127N', '129N', '131N']","['126', '131C']"
183,bannertmt_b19_09,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
184,bannertmt_b05_08,5,"['128N', '130C', '129C', '127N', '128C']","['127C', '129N', '130N', '131N']","['126', '131C']"
185,bannertmt_b19_21,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
186,bannertmt_b16_16,16,"['130C', '127N', '129N', '130N']","['128N', '129C', '128C', '127C', '131N']","['126', '131C']"
187,bannertmt_b08_21,8,"['130C', '127C', '129N', '129C']","['128C', '127N', '131N', '128N', '130N']","['126', '131C']"
188,bannertmt_b02_11,2,"['128N', '131N', '128C', '129C']","['127C', '130N', '130C', '127N', '129N']","['126', '131C']"
189,bannertmt_b03_02,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
190,bannertmt_b09_05,9,"['130C', '131N', '128C', '128N', '129C']","['127N', '127C', '129N', '130N']","['126', '131C']"
191,bannertmt_b07_01,7,"['129N', '131N', '130N', '128N', '127N']","['129C', '128C', '127C', '130C']","['126', '131C']"
192,bannertmt_b05_18,5,"['128N', '130C', '129C', '127N', '128C']","['127C', '129N', '130N', '131N']","['126', '131C']"
193,bannertmt_b18_16,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
194,bannertmt_b10_11,10,"['131N', '129C', '127C', '129N']","['130C', '128N', '130N', '127N', '128C']","['126', '131C']"
195,bannertmt_b22_04,22,"['131N', '128C', '129C', '130N']","['128N', '130C', '127C', '129N', '127N']","['126', '131C']"
196,bannertmt_b19_08,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
